id,symbol,name,type,is_active,payout,min_order_amount,max_order_amount,min_duration,max_duration,available_timeframes,created_at,updated_at
402,E35EUR_otc,E35EUR_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
403,100GBP_otc,100GBP_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
404,F40EUR_otc,F40EUR_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
405,JPN225_otc,JPN225_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
406,D30EUR_otc,D30EUR_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
407,E50EUR_otc,E50EUR_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
408,SP500_otc,SP500_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
409,DJI30_otc,DJI30_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
410,NASUSD_otc,NASUSD_otc,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555372
412,#AMZN_otc,#AMZN_otc,stock,1,72.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
413,#CITI_otc,#CITI_otc,stock,1,67.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
414,#FDX_otc,#FDX_otc,stock,1,83.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
416,#VISA_otc,#VISA_otc,stock,1,79.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555896
426,#XOM_otc,#XOM_otc,stock,1,63.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
427,#CSCO_otc,#CSCO_otc,stock,1,20.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
428,#BABA_otc,#BABA_otc,stock,1,88.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
429,#NFLX_otc,#NFLX_otc,stock,1,85.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555372
449,AEX25,AEX25,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
450,BCHEUR,BCHEUR,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
451,BCHGBP,BCHGBP,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
452,BCHJPY,BCHJPY,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
453,BTCGBP,BTCGBP,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
454,BTCJPY,BTCJPY,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
455,CAC40,CAC40,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
457,CHFNOK_otc,CHFNOK_otc,currency,1,85.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
460,EURHUF_otc,EURHUF_otc,currency,1,79.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
