================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.865135
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.868908] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-05T20:41:17.870485] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-05T20:41:21.733472] [RECV] Mensagem recebida (38 bytes): [["EURRUB_otc",1772761281.57,85.2915]]
[2026-03-05T20:41:22.174851] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.177981] [RECV] Mensagem recebida (38 bytes): [["AUDCAD_otc",1772761282.07,0.91349]]
[2026-03-05T20:41:22.184665] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.236411] [RECV] Mensagem recebida (38 bytes): [["AUDNZD_otc",1772761282.07,1.10107]]
[2026-03-05T20:41:22.263673] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.264674] [RECV] Mensagem recebida (38 bytes): [["CADJPY_otc",1772761282.07,113.172]]
[2026-03-05T20:41:22.265742] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.265742] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761282.071,1.17381]]
[2026-03-05T20:41:22.267279] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.267279] [RECV] Mensagem recebida (38 bytes): [["NZDUSD_otc",1772761282.071,0.5882]]
