================================================================================
WebSocket Connection Log
Connection ID: ativos_0dfe1755f9d2
Connection Type: ativos
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.845751
Log File: ATIVOS_Client_1_ativos_ativos_0dfe1755f9d2_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.847414] [INIT] Iniciando ATIVOS Client #1
  Data: {"account_idx": 0, "user_name": "ATIVOS Client 1", "stable_id": "0dfe1755f9d2"}
[2026-03-05T20:41:18.646148] [CONNECT] Cliente conectado com sucesso
[2026-03-05T20:41:18.654124] [AUTH] Autenticação bem-sucedida
  Data: {"account_idx": 0, "data_keys": []}
[2026-03-05T20:41:30.276353] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:30.277331] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:30.278329] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:30.280323] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:30.684766] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:30.720321] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:30.721854] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:30.723384] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:30.724922] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:30.726971] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:30.728006] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:30.730056] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:30.731903] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:31.197711] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:31.279329] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:31.281719] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:31.283666] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:31.284854] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:31.285880] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:31.287414] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:31.289427] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:31.290425] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:31.685828] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:31.732136] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:31.734771] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:31.735832] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:31.737138] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:31.739177] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:31.740172] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:31.741170] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:31.876662] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:32.182885] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:32.246254] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:32.248246] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:32.249243] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:32.251238] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:32.252236] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:32.253232] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:32.254781] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:32.255773] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:32.679264] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:32.793232] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:32.795760] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:32.798299] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:32.799295] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:32.801290] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:32.803285] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:32.866321] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:32.867985] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:33.184729] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:33.236398] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:33.237960] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:33.239539] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:33.241130] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:33.242156] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:33.243180] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:33.245411] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:33.246404] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:33.668075] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:33.704012] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:33.707005] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:33.709000] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:33.711991] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:33.713986] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:33.716979] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:33.719970] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:33.723960] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:34.169461] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:34.221857] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:34.224846] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:34.226404] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:34.228933] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:34.230497] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:34.231547] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:34.233527] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:34.235239] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:34.727463] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:34.758322] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:34.760092] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:34.761087] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:34.763081] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:34.764077] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:34.765633] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:34.766145] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:34.768286] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:35.173305] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:35.206752] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:35.207750] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:35.210279] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
[2026-03-05T20:41:35.211816] [CALLBACK:stream_update] | symbols: ['NZDUSD_otc']
[2026-03-05T20:41:35.213356] [CALLBACK:stream_update] | symbols: ['USDCAD_otc']
[2026-03-05T20:41:35.214378] [CALLBACK:stream_update] | symbols: ['USDCHF_otc']
[2026-03-05T20:41:35.215912] [CALLBACK:stream_update] | symbols: ['USDJPY_otc']
[2026-03-05T20:41:35.217447] [CALLBACK:stream_update] | symbols: ['EURRUB_otc']
[2026-03-05T20:41:35.670779] [CALLBACK:stream_update] | symbols: ['AUDCAD_otc']
[2026-03-05T20:41:35.682353] [CALLBACK:stream_update] | symbols: ['AUDNZD_otc']
[2026-03-05T20:41:35.751371] [CALLBACK:stream_update] | symbols: ['CADJPY_otc']
[2026-03-05T20:41:35.754359] [CALLBACK:stream_update] | symbols: ['EURUSD_otc']
